text,label,clean,token_count,sentence_count,tokens,sentences
بالٹی میں کیا ہے,,بالٹی میں کیا ہے,4,1,بالٹی | میں | کیا | ہے,بالٹی میں کیا ہے۔
براہ کرم اسے تلاش کریں۔,,براہ کرم اسے تلاش کریں۔,6,1,براہ | کرم | اسے | تلاش | کریں | ۔,براہ کرم اسے تلاش کریں۔
میں گہری شرمندہ تھا,,میں گہری شرمندہ تھا,4,1,میں | گہری | شرمندہ | تھا,میں گہری شرمندہ تھا۔
میں تقریبا بھوکا تھا,,میں تقریبا بھوکا تھا,4,1,میں | تقریبا | بھوکا | تھا,میں تقریبا بھوکا تھا۔
وہ خربوزے ہیں,,وہ خربوزے ہیں,3,1,وہ | خربوزے | ہیں,وہ خربوزے ہیں۔
اسکول آج مزہ تھا,,اسکول آج مزہ تھا,4,1,اسکول | آج | مزہ | تھا,اسکول آج مزہ تھا۔
اس نے کوٹ پہنا,,اس نے کوٹ پہنا,4,1,اس | نے | کوٹ | پہنا,اس نے کوٹ پہنا۔
میں نے اپنی گھڑی کھو دی ہے۔,,میں نے اپنی گھڑی کھو دی ہے۔,8,1,میں | نے | اپنی | گھڑی | کھو | دی | ہے | ۔,میں نے اپنی گھڑی کھو دی ہے۔
احمق احمقوں کی تعریف کرتے ہیں۔,,احمق احمقوں کی تعریف کرتے ہیں۔,7,1,احمق | احمقوں | کی | تعریف | کرتے | ہیں | ۔,احمق احمقوں کی تعریف کرتے ہیں۔
وہ غصے میں آ گیا,,وہ غصے میں آ گیا,5,1,وہ | غصے | میں | آ | گیا,وہ غصے میں آ گیا۔
مجھے مدد کرنے دو,,مجھے مدد کرنے دو,4,1,مجھے | مدد | کرنے | دو,مجھے مدد کرنے دو۔
کسی بھی وقت میرے مطابق ہو گا,,کسی بھی وقت میرے مطابق ہو گا,7,1,کسی | بھی | وقت | میرے | مطابق | ہو | گا,کسی بھی وقت میرے مطابق ہو گا۔
اسے مایوس نہ کرو,,اسے مایوس نہ کرو,4,1,اسے | مایوس | نہ | کرو,اسے مایوس نہ کرو۔
آپکا خیر مقدم ہے,,آپکا خیر مقدم ہے,4,1,آپکا | خیر | مقدم | ہے,آپکا خیر مقدم ہے۔
میں انگلستان سے ہوں,,میں انگلستان سے ہوں,4,1,میں | انگلستان | سے | ہوں,میں انگلستان سے ہوں۔
پر ملتے ہیں,,پر ملتے ہیں,3,1,پر | ملتے | ہیں,پر ملتے ہیں۔
مجھے صرف چھینا گیا تھا۔,,مجھے صرف چھینا گیا تھا۔,6,1,مجھے | صرف | چھینا | گیا | تھا | ۔,مجھے صرف چھینا گیا تھا۔
وہ جانور پسند کرتا ہے,,وہ جانور پسند کرتا ہے,5,1,وہ | جانور | پسند | کرتا | ہے,وہ جانور پسند کرتا ہے۔
اب آپ محفوظ ہیں,,اب آپ محفوظ ہیں,4,1,اب | آپ | محفوظ | ہیں,اب آپ محفوظ ہیں۔
ہر لمحہ اس پر بھاری تھا۔,,ہر لمحہ اس پر بھاری تھا۔,7,1,ہر | لمحہ | اس | پر | بھاری | تھا | ۔,ہر لمحہ اس پر بھاری تھا۔
کیا آپ کل آزاد ہیں؟,,کیا آپ کل آزاد ہیں؟,6,1,کیا | آپ | کل | آزاد | ہیں | ؟,کیا آپ کل آزاد ہیں؟
اس نے اسے خوش کیا,,اس نے اسے خوش کیا,5,1,اس | نے | اسے | خوش | کیا,اس نے اسے خوش کیا۔
اب بھی کام کر رہے تھے,,اب بھی کام کر رہے تھے,6,1,اب | بھی | کام | کر | رہے | تھے,اب بھی کام کر رہے تھے۔
وہاں کوئی نہیں گیا,,وہاں کوئی نہیں گیا,4,1,وہاں | کوئی | نہیں | گیا,وہاں کوئی نہیں گیا۔
آپ کو کوئی ذائقہ نہیں ہے,,آپ کو کوئی ذائقہ نہیں ہے,6,1,آپ | کو | کوئی | ذائقہ | نہیں | ہے,آپ کو کوئی ذائقہ نہیں ہے۔
برباد نہ کرو,,برباد نہ کرو,3,1,برباد | نہ | کرو,برباد نہ کرو۔
میرے پاس مزید خیالات نہیں ہیں۔,,میرے پاس مزید خیالات نہیں ہیں۔,7,1,میرے | پاس | مزید | خیالات | نہیں | ہیں | ۔,میرے پاس مزید خیالات نہیں ہیں۔
یہ تکلیف دیتا ہے؟,,یہ تکلیف دیتا ہے؟,5,1,یہ | تکلیف | دیتا | ہے | ؟,یہ تکلیف دیتا ہے؟
میں اس کی مدد نہیں کر سکتا,,میں اس کی مدد نہیں کر سکتا,7,1,میں | اس | کی | مدد | نہیں | کر | سکتا,میں اس کی مدد نہیں کر سکتا۔
میں نے اس کی وجہ سے,,میں نے اس کی وجہ سے,6,1,میں | نے | اس | کی | وجہ | سے,میں نے اس کی وجہ سے۔
مجھے تمہاری داڑھی پسند ہے۔,,مجھے تمہاری داڑھی پسند ہے۔,6,1,مجھے | تمہاری | داڑھی | پسند | ہے | ۔,مجھے تمہاری داڑھی پسند ہے۔
کیا تم نے ابھی ٹام کو مارا؟,,کیا تم نے ابھی ٹام کو مارا؟,8,1,کیا | تم | نے | ابھی | ٹام | کو | مارا | ؟,کیا تم نے ابھی ٹام کو مارا؟
سنجیدگی سے,,سنجیدگی سے,2,1,سنجیدگی | سے,سنجیدگی سے۔
اسے رکھو,,اسے رکھو,2,1,اسے | رکھو,اسے رکھو۔
زین ایک کمزور ہے,,زین ایک کمزور ہے,4,1,زین | ایک | کمزور | ہے,زین ایک کمزور ہے۔
کینیڈین تھے۔,,کینیڈین تھے۔,3,1,کینیڈین | تھے | ۔,کینیڈین تھے۔
تبدیلی آ رہی ہے,,تبدیلی آ رہی ہے,4,1,تبدیلی | آ | رہی | ہے,تبدیلی آ رہی ہے۔
اسے بلند آواز سے پڑھیں,,اسے بلند آواز سے پڑھیں,5,1,اسے | بلند | آواز | سے | پڑھیں,اسے بلند آواز سے پڑھیں۔
چلو نشہ کرتے ہیں,,چلو نشہ کرتے ہیں,4,1,چلو | نشہ | کرتے | ہیں,چلو نشہ کرتے ہیں۔
یہ آدمی کا کام ہے,,یہ آدمی کا کام ہے,5,1,یہ | آدمی | کا | کام | ہے,یہ آدمی کا کام ہے۔
تمھیں دکان سڑک کے کونے میں ملے گی۔,,تمھیں دکان سڑک کے کونے میں ملے گی۔,9,1,تمھیں | دکان | سڑک | کے | کونے | میں | ملے | گی | ۔,تمھیں دکان سڑک کے کونے میں ملے گی۔
میں شاور لیتا ہوں اور کپڑے پہنتا ہوں۔,,میں شاور لیتا ہوں اور کپڑے پہنتا ہوں۔,9,1,میں | شاور | لیتا | ہوں | اور | کپڑے | پہنتا | ہوں | ۔,میں شاور لیتا ہوں اور کپڑے پہنتا ہوں۔
بہت مصروف تھے,,بہت مصروف تھے,3,1,بہت | مصروف | تھے,بہت مصروف تھے۔
مختلف تھے,,مختلف تھے,2,1,مختلف | تھے,مختلف تھے۔
ٹائر سے ہوا نکلتی ہے۔,,ٹائر سے ہوا نکلتی ہے۔,6,1,ٹائر | سے | ہوا | نکلتی | ہے | ۔,ٹائر سے ہوا نکلتی ہے۔
تم کیسے ہو,,تم کیسے ہو,3,1,تم | کیسے | ہو,تم کیسے ہو۔
تم نشے میں ہو,,تم نشے میں ہو,4,1,تم | نشے | میں | ہو,تم نشے میں ہو۔
کیا پریشانی ہے,,کیا پریشانی ہے,3,1,کیا | پریشانی | ہے,کیا پریشانی ہے۔
وہ بہت کنجوس ہے,,وہ بہت کنجوس ہے,4,1,وہ | بہت | کنجوس | ہے,وہ بہت کنجوس ہے۔
مجھے دل کا دورہ پڑا تھا۔,,مجھے دل کا دورہ پڑا تھا۔,7,1,مجھے | دل | کا | دورہ | پڑا | تھا | ۔,مجھے دل کا دورہ پڑا تھا۔
میں طلاق چاہتا ہوں۔,,میں طلاق چاہتا ہوں۔,5,1,میں | طلاق | چاہتا | ہوں | ۔,میں طلاق چاہتا ہوں۔
یہ میرے شیشے ہیں,,یہ میرے شیشے ہیں,4,1,یہ | میرے | شیشے | ہیں,یہ میرے شیشے ہیں۔
آپ کہاں تھے؟,,آپ کہاں تھے؟,4,1,آپ | کہاں | تھے | ؟,آپ کہاں تھے؟
میں کافی حیران تھا,,میں کافی حیران تھا,4,1,میں | کافی | حیران | تھا,میں کافی حیران تھا۔
مجھے ایک پوسٹ کارڈ بھیجیں۔,,مجھے ایک پوسٹ کارڈ بھیجیں۔,6,1,مجھے | ایک | پوسٹ | کارڈ | بھیجیں | ۔,مجھے ایک پوسٹ کارڈ بھیجیں۔
کیا میں یہ دیکھ سکتا ہوں؟,,کیا میں یہ دیکھ سکتا ہوں؟,7,1,کیا | میں | یہ | دیکھ | سکتا | ہوں | ؟,کیا میں یہ دیکھ سکتا ہوں؟
کیا زین کا مطلب ہے؟,,کیا زین کا مطلب ہے؟,6,1,کیا | زین | کا | مطلب | ہے | ؟,کیا زین کا مطلب ہے؟
زین کھیلنا چاہتا ہے۔,,زین کھیلنا چاہتا ہے۔,5,1,زین | کھیلنا | چاہتا | ہے | ۔,زین کھیلنا چاہتا ہے۔
مجھے کوئی دلچسپی نہیں ہے,,مجھے کوئی دلچسپی نہیں ہے,5,1,مجھے | کوئی | دلچسپی | نہیں | ہے,مجھے کوئی دلچسپی نہیں ہے۔
میں اس کا نام نہیں جانتا,,میں اس کا نام نہیں جانتا,6,1,میں | اس | کا | نام | نہیں | جانتا,میں اس کا نام نہیں جانتا۔
میں نے ادا کرنے سے انکار کر دیا,,میں نے ادا کرنے سے انکار کر دیا,8,1,میں | نے | ادا | کرنے | سے | انکار | کر | دیا,میں نے ادا کرنے سے انکار کر دیا۔
وہ اپنا کام کر رہا ہے,,وہ اپنا کام کر رہا ہے,6,1,وہ | اپنا | کام | کر | رہا | ہے,وہ اپنا کام کر رہا ہے۔
اپنے آپ کو دیکھو,,اپنے آپ کو دیکھو,4,1,اپنے | آپ | کو | دیکھو,اپنے آپ کو دیکھو۔
وہ آپ کے لیے کیا ہے,,وہ آپ کے لیے کیا ہے,6,1,وہ | آپ | کے | لیے | کیا | ہے,وہ آپ کے لیے کیا ہے۔
وہ ایماندار نظر آیا,,وہ ایماندار نظر آیا,4,1,وہ | ایماندار | نظر | آیا,وہ ایماندار نظر آیا۔
میں ایک امیبا کی طرح محسوس کرتا ہوں۔,,میں ایک امیبا کی طرح محسوس کرتا ہوں۔,9,1,میں | ایک | امیبا | کی | طرح | محسوس | کرتا | ہوں | ۔,میں ایک امیبا کی طرح محسوس کرتا ہوں۔
تم سن نہیں رہے ہو,,تم سن نہیں رہے ہو,5,1,تم | سن | نہیں | رہے | ہو,تم سن نہیں رہے ہو۔
ایک گانا گاتے ہیں,,ایک گانا گاتے ہیں,4,1,ایک | گانا | گاتے | ہیں,ایک گانا گاتے ہیں۔
میں نے سوچا کہ تم مجھے جانتے ہو۔,,میں نے سوچا کہ تم مجھے جانتے ہو۔,9,1,میں | نے | سوچا | کہ | تم | مجھے | جانتے | ہو | ۔,میں نے سوچا کہ تم مجھے جانتے ہو۔
انہوں نے ٹام کا پتہ لگایا ہے۔,,انہوں نے ٹام کا پتہ لگایا ہے۔,8,1,انہوں | نے | ٹام | کا | پتہ | لگایا | ہے | ۔,انہوں نے ٹام کا پتہ لگایا ہے۔
زین نے اپنا توازن برقرار رکھا,,زین نے اپنا توازن برقرار رکھا,6,1,زین | نے | اپنا | توازن | برقرار | رکھا,زین نے اپنا توازن برقرار رکھا۔
اب کرو ٹام,,اب کرو ٹام,3,1,اب | کرو | ٹام,اب کرو ٹام۔
انہوں نے بہت کچھ کھو دیا ہے,,انہوں نے بہت کچھ کھو دیا ہے,7,1,انہوں | نے | بہت | کچھ | کھو | دیا | ہے,انہوں نے بہت کچھ کھو دیا ہے۔
کوئی اور جا رہا ہے؟,,کوئی اور جا رہا ہے؟,6,1,کوئی | اور | جا | رہا | ہے | ؟,کوئی اور جا رہا ہے؟
لکڑی بوسیدہ ہے,,لکڑی بوسیدہ ہے,3,1,لکڑی | بوسیدہ | ہے,لکڑی بوسیدہ ہے۔
وہ صرف تم سے مذاق کر رہا ہے,,وہ صرف تم سے مذاق کر رہا ہے,8,1,وہ | صرف | تم | سے | مذاق | کر | رہا | ہے,وہ صرف تم سے مذاق کر رہا ہے۔
تم نے مجھ سے وعدہ کیا تھا,,تم نے مجھ سے وعدہ کیا تھا,7,1,تم | نے | مجھ | سے | وعدہ | کیا | تھا,تم نے مجھ سے وعدہ کیا تھا۔
کسی نے ابھی بلایا,,کسی نے ابھی بلایا,4,1,کسی | نے | ابھی | بلایا,کسی نے ابھی بلایا۔
بوسٹن کہاں ہے؟,,بوسٹن کہاں ہے؟,4,1,بوسٹن | کہاں | ہے | ؟,بوسٹن کہاں ہے؟
زین نے مجھے دھوکہ دیا ہے۔,,زین نے مجھے دھوکہ دیا ہے۔,7,1,زین | نے | مجھے | دھوکہ | دیا | ہے | ۔,زین نے مجھے دھوکہ دیا ہے۔
مینو میں کیا ہے,,مینو میں کیا ہے,4,1,مینو | میں | کیا | ہے,مینو میں کیا ہے۔
کیا میں اسے استعمال کر سکتا ہوں؟,,کیا میں اسے استعمال کر سکتا ہوں؟,8,1,کیا | میں | اسے | استعمال | کر | سکتا | ہوں | ؟,کیا میں اسے استعمال کر سکتا ہوں؟
میں نے اسے سمجھایا,,میں نے اسے سمجھایا,4,1,میں | نے | اسے | سمجھایا,میں نے اسے سمجھایا۔
دروازہ اب کھلا ہے,,دروازہ اب کھلا ہے,4,1,دروازہ | اب | کھلا | ہے,دروازہ اب کھلا ہے۔
مجھے کچھ پانی چاہیے,,مجھے کچھ پانی چاہیے,4,1,مجھے | کچھ | پانی | چاہیے,مجھے کچھ پانی چاہیے۔
میں نے پورے یورپ کا سفر کیا۔,,میں نے پورے یورپ کا سفر کیا۔,8,1,میں | نے | پورے | یورپ | کا | سفر | کیا | ۔,میں نے پورے یورپ کا سفر کیا۔
میں بیرون ملک جانا چاہتا ہوں۔,,میں بیرون ملک جانا چاہتا ہوں۔,7,1,میں | بیرون | ملک | جانا | چاہتا | ہوں | ۔,میں بیرون ملک جانا چاہتا ہوں۔
زین کو گھر کا مریض ہونا چاہیے۔,,زین کو گھر کا مریض ہونا چاہیے۔,8,1,زین | کو | گھر | کا | مریض | ہونا | چاہیے | ۔,زین کو گھر کا مریض ہونا چاہیے۔
میں مشکور ہوں آپ کا، جو آپ نے میرے لیئے کل کیا۔,,میں مشکور ہوں آپ کا، جو آپ نے میرے لیئے کل کیا۔,14,1,میں | مشکور | ہوں | آپ | کا | ، | جو | آپ | نے | میرے | لیئے | کل | کیا | ۔,میں مشکور ہوں آپ کا، جو آپ نے میرے لیئے کل کیا۔
کتنی لمبی پرواز ہے,,کتنی لمبی پرواز ہے,4,1,کتنی | لمبی | پرواز | ہے,کتنی لمبی پرواز ہے۔
سب کامیاب ہوں گے,,سب کامیاب ہوں گے,4,1,سب | کامیاب | ہوں | گے,سب کامیاب ہوں گے۔
وہ واقعی تیز ہے,,وہ واقعی تیز ہے,4,1,وہ | واقعی | تیز | ہے,وہ واقعی تیز ہے۔
زین کے فون کی گھنٹی بجی۔,,زین کے فون کی گھنٹی بجی۔,7,1,زین | کے | فون | کی | گھنٹی | بجی | ۔,زین کے فون کی گھنٹی بجی۔
وہ ہمارا حصہ ہیں,,وہ ہمارا حصہ ہیں,4,1,وہ | ہمارا | حصہ | ہیں,وہ ہمارا حصہ ہیں۔
وہ لمبا ہو رہا ہے,,وہ لمبا ہو رہا ہے,5,1,وہ | لمبا | ہو | رہا | ہے,وہ لمبا ہو رہا ہے۔
وہ جینوا سے آتا ہے۔,,وہ جینوا سے آتا ہے۔,6,1,وہ | جینوا | سے | آتا | ہے | ۔,وہ جینوا سے آتا ہے۔
مجھے اس تصویر سے پیار ہے,,مجھے اس تصویر سے پیار ہے,6,1,مجھے | اس | تصویر | سے | پیار | ہے,مجھے اس تصویر سے پیار ہے۔
وہ بستر مرگ پر ہے۔,,وہ بستر مرگ پر ہے۔,6,1,وہ | بستر | مرگ | پر | ہے | ۔,وہ بستر مرگ پر ہے۔
میں تم سے پیار کرتا ہوں,,میں تم سے پیار کرتا ہوں,6,1,میں | تم | سے | پیار | کرتا | ہوں,میں تم سے پیار کرتا ہوں۔
وہ اس سے پیار کرتی ہے۔,,وہ اس سے پیار کرتی ہے۔,7,1,وہ | اس | سے | پیار | کرتی | ہے | ۔,وہ اس سے پیار کرتی ہے۔
سنجیدہ ہوجاو,,سنجیدہ ہوجاو,2,1,سنجیدہ | ہوجاو,سنجیدہ ہوجاو۔
میں بہترین چاہتا ہوں۔,,میں بہترین چاہتا ہوں۔,5,1,میں | بہترین | چاہتا | ہوں | ۔,میں بہترین چاہتا ہوں۔
آپ نے کیسے جواب دیا,,آپ نے کیسے جواب دیا,5,1,آپ | نے | کیسے | جواب | دیا,آپ نے کیسے جواب دیا۔
کیا آپ شرط لگا سکتے ہیں؟,,کیا آپ شرط لگا سکتے ہیں؟,7,1,کیا | آپ | شرط | لگا | سکتے | ہیں | ؟,کیا آپ شرط لگا سکتے ہیں؟
زین ایک اچھا بچہ ہے۔,,زین ایک اچھا بچہ ہے۔,6,1,زین | ایک | اچھا | بچہ | ہے | ۔,زین ایک اچھا بچہ ہے۔
تم نے اسے دیکھا,,تم نے اسے دیکھا,4,1,تم | نے | اسے | دیکھا,تم نے اسے دیکھا۔
یہ ایک اچھا خیال تھا,,یہ ایک اچھا خیال تھا,5,1,یہ | ایک | اچھا | خیال | تھا,یہ ایک اچھا خیال تھا۔
وہ شاذ و نادر ہی چھوڑ دیتا ہے۔,,وہ شاذ و نادر ہی چھوڑ دیتا ہے۔,9,1,وہ | شاذ | و | نادر | ہی | چھوڑ | دیتا | ہے | ۔,وہ شاذ و نادر ہی چھوڑ دیتا ہے۔
زین بیمار ہوگا۔,,زین بیمار ہوگا۔,4,1,زین | بیمار | ہوگا | ۔,زین بیمار ہوگا۔
اس نے ٹوپی پہن رکھی ہے۔,,اس نے ٹوپی پہن رکھی ہے۔,7,1,اس | نے | ٹوپی | پہن | رکھی | ہے | ۔,اس نے ٹوپی پہن رکھی ہے۔
میں نے پانی پیا۔,,میں نے پانی پیا۔,5,1,میں | نے | پانی | پیا | ۔,میں نے پانی پیا۔
میں تمہیں یاد کروں گا۔,,میں تمہیں یاد کروں گا۔,6,1,میں | تمہیں | یاد | کروں | گا | ۔,میں تمہیں یاد کروں گا۔
ہم اس کے قریب رہتے ہیں۔,,ہم اس کے قریب رہتے ہیں۔,7,1,ہم | اس | کے | قریب | رہتے | ہیں | ۔,ہم اس کے قریب رہتے ہیں۔
گھر واپس تھے,,گھر واپس تھے,3,1,گھر | واپس | تھے,گھر واپس تھے۔
آپ کہیں بھی جا سکتے ہیں۔,,آپ کہیں بھی جا سکتے ہیں۔,7,1,آپ | کہیں | بھی | جا | سکتے | ہیں | ۔,آپ کہیں بھی جا سکتے ہیں۔
میری پیٹھ دیکھو,,میری پیٹھ دیکھو,3,1,میری | پیٹھ | دیکھو,میری پیٹھ دیکھو۔
زین تیس,,زین تیس,2,1,زین | تیس,زین تیس۔
زین سنجیدہ ہو گیا۔,,زین سنجیدہ ہو گیا۔,5,1,زین | سنجیدہ | ہو | گیا | ۔,زین سنجیدہ ہو گیا۔
غصہ نہ کرو,,غصہ نہ کرو,3,1,غصہ | نہ | کرو,غصہ نہ کرو۔
تمہارا مسئلہ کیا ہے,,تمہارا مسئلہ کیا ہے,4,1,تمہارا | مسئلہ | کیا | ہے,تمہارا مسئلہ کیا ہے۔
بچوں کو کھیلنے کی ضرورت ہے,,بچوں کو کھیلنے کی ضرورت ہے,6,1,بچوں | کو | کھیلنے | کی | ضرورت | ہے,بچوں کو کھیلنے کی ضرورت ہے۔
مجھے 2 پلیٹوں کی ضرورت ہے۔,,مجھے پلیٹوں کی ضرورت ہے۔,6,1,مجھے | پلیٹوں | کی | ضرورت | ہے | ۔,مجھے پلیٹوں کی ضرورت ہے۔
زین ہم دونوں سے پیار کرتا تھا۔,,زین ہم دونوں سے پیار کرتا تھا۔,8,1,زین | ہم | دونوں | سے | پیار | کرتا | تھا | ۔,زین ہم دونوں سے پیار کرتا تھا۔
اپنے پیچھے دیکھو,,اپنے پیچھے دیکھو,3,1,اپنے | پیچھے | دیکھو,اپنے پیچھے دیکھو۔
میں نے کہا شکریہ,,میں نے کہا شکریہ,4,1,میں | نے | کہا | شکریہ,میں نے کہا شکریہ۔
زین جواب نہیں دے رہا,,زین جواب نہیں دے رہا,5,1,زین | جواب | نہیں | دے | رہا,زین جواب نہیں دے رہا۔
زین بہت تھکا ہوا ہے,,زین بہت تھکا ہوا ہے,5,1,زین | بہت | تھکا | ہوا | ہے,زین بہت تھکا ہوا ہے۔
وہ ایک اچھا انسان ہے,,وہ ایک اچھا انسان ہے,5,1,وہ | ایک | اچھا | انسان | ہے,وہ ایک اچھا انسان ہے۔
زین پتھر کے نیچے سے ٹکرایا,,زین پتھر کے نیچے سے ٹکرایا,6,1,زین | پتھر | کے | نیچے | سے | ٹکرایا,زین پتھر کے نیچے سے ٹکرایا۔
میں موڈ میں نہیں ہوں۔,,میں موڈ میں نہیں ہوں۔,6,1,میں | موڈ | میں | نہیں | ہوں | ۔,میں موڈ میں نہیں ہوں۔
کیا آپ دونوں خوش ہیں؟,,کیا آپ دونوں خوش ہیں؟,6,1,کیا | آپ | دونوں | خوش | ہیں | ؟,کیا آپ دونوں خوش ہیں؟
کیا مجھے بیکن کی خوشبو آتی ہے؟,,کیا مجھے بیکن کی خوشبو آتی ہے؟,8,1,کیا | مجھے | بیکن | کی | خوشبو | آتی | ہے | ؟,کیا مجھے بیکن کی خوشبو آتی ہے؟
لڑکے میرے گھر کے پیچھے میدان میں فٹ بال کھیل رہے ہیں۔,,لڑکے میرے گھر کے پیچھے میدان میں فٹ بال کھیل رہے ہیں۔,13,1,لڑکے | میرے | گھر | کے | پیچھے | میدان | میں | فٹ | بال | کھیل | رہے | ہیں | ۔,لڑکے میرے گھر کے پیچھے میدان میں فٹ بال کھیل رہے ہیں۔
زین کو بتاؤ کیوں,,زین کو بتاؤ کیوں,4,1,زین | کو | بتاؤ | کیوں,زین کو بتاؤ کیوں۔
مریم کو اپنا کام کرنے دو,,مریم کو اپنا کام کرنے دو,6,1,مریم | کو | اپنا | کام | کرنے | دو,مریم کو اپنا کام کرنے دو۔
مجھے ابھی جانا ہے,,مجھے ابھی جانا ہے,4,1,مجھے | ابھی | جانا | ہے,مجھے ابھی جانا ہے۔
میں زیادہ حیران نہیں ہوں۔,,میں زیادہ حیران نہیں ہوں۔,6,1,میں | زیادہ | حیران | نہیں | ہوں | ۔,میں زیادہ حیران نہیں ہوں۔
اس نے الوداع کہا,,اس نے الوداع کہا,4,1,اس | نے | الوداع | کہا,اس نے الوداع کہا۔
مجھے سکول میں ہونا چاہیے,,مجھے سکول میں ہونا چاہیے,5,1,مجھے | سکول | میں | ہونا | چاہیے,مجھے سکول میں ہونا چاہیے۔
اب ہم کام پر اتر سکتے ہیں۔,,اب ہم کام پر اتر سکتے ہیں۔,8,1,اب | ہم | کام | پر | اتر | سکتے | ہیں | ۔,اب ہم کام پر اتر سکتے ہیں۔
وہ کہاں ہو سکتا ہے,,وہ کہاں ہو سکتا ہے,5,1,وہ | کہاں | ہو | سکتا | ہے,وہ کہاں ہو سکتا ہے۔
مختلف لوگوں کے مختلف خیالات ہیں۔,,مختلف لوگوں کے مختلف خیالات ہیں۔,7,1,مختلف | لوگوں | کے | مختلف | خیالات | ہیں | ۔,مختلف لوگوں کے مختلف خیالات ہیں۔
ہم زندہ رہیں گے,,ہم زندہ رہیں گے,4,1,ہم | زندہ | رہیں | گے,ہم زندہ رہیں گے۔
سیاحوں کی معلومات کا مرکز کہاں ہے؟,,سیاحوں کی معلومات کا مرکز کہاں ہے؟,8,1,سیاحوں | کی | معلومات | کا | مرکز | کہاں | ہے | ؟,سیاحوں کی معلومات کا مرکز کہاں ہے؟
کیا تم نے اس کا چہرہ دیکھا؟,,کیا تم نے اس کا چہرہ دیکھا؟,8,1,کیا | تم | نے | اس | کا | چہرہ | دیکھا | ؟,کیا تم نے اس کا چہرہ دیکھا؟
میں یہاں ٹام کے ساتھ ہوں۔,,میں یہاں ٹام کے ساتھ ہوں۔,7,1,میں | یہاں | ٹام | کے | ساتھ | ہوں | ۔,میں یہاں ٹام کے ساتھ ہوں۔
اس نے مجھے بلیک میل کیا,,اس نے مجھے بلیک میل کیا,6,1,اس | نے | مجھے | بلیک | میل | کیا,اس نے مجھے بلیک میل کیا۔
چلو واپس جا ئیں,,چلو واپس جا ئیں,4,1,چلو | واپس | جا | ئیں,چلو واپس جا ئیں۔
زین ایک ورکاہولک ہے۔,,زین ایک ورکاہولک ہے۔,5,1,زین | ایک | ورکاہولک | ہے | ۔,زین ایک ورکاہولک ہے۔
وہ ایک دوسرے کو جانتے تھے,,وہ ایک دوسرے کو جانتے تھے,6,1,وہ | ایک | دوسرے | کو | جانتے | تھے,وہ ایک دوسرے کو جانتے تھے۔
وہ انتقام چاہتا ہے,,وہ انتقام چاہتا ہے,4,1,وہ | انتقام | چاہتا | ہے,وہ انتقام چاہتا ہے۔
میں کام سے باہر ہوں,,میں کام سے باہر ہوں,5,1,میں | کام | سے | باہر | ہوں,میں کام سے باہر ہوں۔
میں نے ایک کتاب پڑھی,,میں نے ایک کتاب پڑھی,5,1,میں | نے | ایک | کتاب | پڑھی,میں نے ایک کتاب پڑھی۔
یہ ہماری ٹرین ہے,,یہ ہماری ٹرین ہے,4,1,یہ | ہماری | ٹرین | ہے,یہ ہماری ٹرین ہے۔
میں کل آؤں گا,,میں کل آؤں گا,4,1,میں | کل | آؤں | گا,میں کل آؤں گا۔
زین ایک سرفر ہے۔,,زین ایک سرفر ہے۔,5,1,زین | ایک | سرفر | ہے | ۔,زین ایک سرفر ہے۔
میں نے ہمیشہ ٹام کو پسند کیا۔,,میں نے ہمیشہ ٹام کو پسند کیا۔,8,1,میں | نے | ہمیشہ | ٹام | کو | پسند | کیا | ۔,میں نے ہمیشہ ٹام کو پسند کیا۔
انہوں نے جاپانی شہریت حاصل کرلی۔,,انہوں نے جاپانی شہریت حاصل کرلی۔,7,1,انہوں | نے | جاپانی | شہریت | حاصل | کرلی | ۔,انہوں نے جاپانی شہریت حاصل کرلی۔
ہم بہت ملتے جلتے ہیں,,ہم بہت ملتے جلتے ہیں,5,1,ہم | بہت | ملتے | جلتے | ہیں,ہم بہت ملتے جلتے ہیں۔
ہم یہ سب جانتے تھے,,ہم یہ سب جانتے تھے,5,1,ہم | یہ | سب | جانتے | تھے,ہم یہ سب جانتے تھے۔
وہ ائے گا,,وہ ائے گا,3,1,وہ | ائے | گا,وہ ائے گا۔
میں ووٹ بھی نہیں دیتا,,میں ووٹ بھی نہیں دیتا,5,1,میں | ووٹ | بھی | نہیں | دیتا,میں ووٹ بھی نہیں دیتا۔
میں نہیں کہہ سکتا تھا۔,,میں نہیں کہہ سکتا تھا۔,6,1,میں | نہیں | کہہ | سکتا | تھا | ۔,میں نہیں کہہ سکتا تھا۔
ہم جیتیں گے,,ہم جیتیں گے,3,1,ہم | جیتیں | گے,ہم جیتیں گے۔
کیا تم مجھے وہ دے سکتے ہو؟,,کیا تم مجھے وہ دے سکتے ہو؟,8,1,کیا | تم | مجھے | وہ | دے | سکتے | ہو | ؟,کیا تم مجھے وہ دے سکتے ہو؟
میں واقعی بھوکا ہوں,,میں واقعی بھوکا ہوں,4,1,میں | واقعی | بھوکا | ہوں,میں واقعی بھوکا ہوں۔
ٹام کو نظر انداز کریں,,ٹام کو نظر انداز کریں,5,1,ٹام | کو | نظر | انداز | کریں,ٹام کو نظر انداز کریں۔
